八音	连江县志记法	榕拼	对应的声调范围（1-8记法）	县志是否与榕拼完全一致	县志是否可以唯一映射到榕拼(有声调辅助)	榕拼是否可以唯一映射到县志(有声调辅助)	县志是否可以唯一映射到榕拼(无声调辅助)	榕拼是否可以唯一映射到县志(无声调辅助)
柳	l	l	""	Y	Y	Y	Y	Y
边	p	b	""	N	Y	Y	Y	Y
求	p‘	g	""	N	Y	Y	Y	Y
气	k’	k	""	N	Y	Y	Y	Y
低	t	d	""	N	Y	Y	Y	Y
波	p‘	p	""	N	Y	Y	Y	Y
他	t’	t	""	N	Y	Y	Y	Y
曾	ts	z	""	N	Y	Y	Y	Y
日	n	n	""	Y	Y	Y	Y	Y
时	s	s	""	Y	Y	Y	Y	Y
莺			""	Y	Y	Y	Y	Y
蒙	m	m	""	Y	Y	Y	Y	Y
语	ŋ	ng	""	N	Y	Y	Y	Y
出	ts’	c	""	N	Y	Y	Y	Y
喜	h	h	""	Y	Y	Y	Y	Y
	β	w	""	N	Y	Y	Y	Y
	ʒ	j	""	N	N	Y	N	Y
	ʒ	nz	""	N	N	Y	N	Y
嘉	a	a	all	Y	Y	N	Y	Y
西	ɛ	e	1,2,5	N	Y	Y	N	Y
西	ɛ	a	3,7	N	Y	N	N	N
初	œ	eo	1,2,5	N	Y	Y	N	Y
初	œ	oo	3,7	N	Y	N	N	N
歌	ɔ	o	1,2,5	N	Y	Y	N	Y
歌	ɔ	oo	3,7	N	Y	N	N	N
之	i	i	1,2,5	Y	Y	Y	Y	Y
之	ei	ei	3,7	Y	Y	Y	Y	Y
孤	u	u	1,2,5	Y	Y	Y	Y	Y
孤	ou	ou	3,7	Y	Y	Y	Y	Y
须	y	y	1,2,5	Y	Y	Y	Y	Y
须	øy	eoy	3,7	N	Y	Y	Y	N
奇	ia	ia	all	Y	Y	Y	Y	Y
鸡	ie	ie	all	Y	Y	Y	Y	Y
秋	iu	iu	all	Y	Y	Y	Y	Y
烧	iu	iu	all	Y	Y	Y	Y	Y
花	ua	ua	all	Y	Y	Y	Y	Y
过	uo	uo	all	Y	Y	Y	Y	Y
辉	ui	ui	all	Y	Y	Y	Y	Y
杯	ui	ui	all	Y	Y	Y	Y	Y
歪	uai	uai	all	Y	Y	Y	Y	Y
桥	yo	yo	all	Y	Y	Y	Y	Y
开	ai	ai	all	Y	Y	Y	Y	Y
郊	au	au	all	Y	Y	N	Y	N
沟	eu	eu	1,2,5	Y	Y	Y	N	Y
沟	eu	au	3,7	N	Y	N	N	N
催	oy	eoy	1,2,5	N	Y	Y	N	N
催	oy	ooy	3,7	N	Y	Y	N	Y
山	aŋ	ang	all	N	Y	Y	Y	Y
宾	iŋ	ing	1,2,5	N	Y	Y	Y	Y
宾	eiŋ	eing	3,7	N	Y	Y	Y	Y
春	uŋ	ung	1,2,5	N	Y	Y	Y	Y
春	ouŋ	oung	3,7	N	Y	Y	Y	N
银	yŋ	yng	1,2,5	N	Y	Y	Y	Y
银	øyŋ	eoyng	3,7	N	Y	Y	Y	N
声	iaŋ	iang	all	N	Y	Y	Y	Y
天	ieŋ	ieng	all	N	Y	Y	Y	Y
欢	uaŋ	uang	all	N	Y	Y	Y	Y
光	uoŋ	uong	all	N	Y	Y	Y	Y
香	yoŋ	yong	all	N	Y	Y	Y	Y
灯	ɛiŋ	eing	1,2,5	N	Y	Y	N	Y
灯	ɛiŋ	aing	3,7	N	Y	Y	N	Y
釭	ɔuŋ	oung	1,2,5	N	Y	Y	N	N
釭	ɔuŋ	ooung	3,7	N	Y	Y	N	Y
东	oyŋ	eoyng	1,2,5	N	Y	Y	N	N
东	oyŋ	ooyng	3,7	N	Y	Y	N	Y
嘉	aʔ	ah	all	N	N	Y	N	Y
山	aʔ	ak	all	N	N	Y	N	Y
西	ɛʔ	eh	all	N	Y	Y	Y	Y
初	œʔ	eoh	all	N	Y	Y	Y	Y
歌	ɔʔ	oh	8	N	Y	Y	N	Y
歌	ɔʔ	ooh	4	N	Y	Y	N	Y
之	iʔ	ih	8	N	N	Y	N	Y
之	eiʔ	eih	4	N	N	Y	N	Y
宾	iʔ	ik	8	N	N	Y	N	Y
宾	eiʔ	eik	4	N	N	Y	N	Y
孤	uʔ	uh	8	N	N	Y	N	Y
孤	ouʔ	ouh	4	N	N	Y	N	Y
春	uʔ	uk	8	N	N	Y	N	Y
春	ouʔ	ouk	4	N	N	Y	N	Y
须	yʔ	yh	8	N	N	Y	N	Y
须	øyʔ	eoyh	4	N	N	Y	N	Y
银	yʔ	yk	8	N	N	Y	N	Y
银	øyʔ	eoyk	4	N	N	Y	N	Y
