#
#
#转写说明：
#入声尾韵ʔ统一先用「?」;
#送气统一先用「'」;
#鼻音尾韵ŋ统一先用「ng」;
#ø统一先用「o/」;
#ɔ统一先用「oo」;
#œ统一先用「oe」;
#β统一先用「w」;
#ʒ统一先用「z」;
#ε统一先用「ee」;
#其余音标全部按照原书录入
#原书白读下划线统一在字后加「*」
#录入过程中的补注用「%」
##########################################


##########################################
#2021.1.28更新
#校对完成
#所有转写已替换为原书格式
#
###########################################

#p1298L	
#本章分类列出连江话常用词语，词语按连读后的读音标音。每条词语先写连江话说法，	
接着是标音，标音后是普通话的说法或该词语义。	
#一、天文	
日头	niʔ5 t‘au52	太阳	
月	ŋuoʔ5	月亮	
月生*晕	ŋuoʔ5 saŋ52 uoŋ242	月晕	
星	siŋ44	星星	
星泄窝	siŋ44 sieʔ12 uo44	流星	
筅帚星	ts‘εiŋ21 ʒiu21 liŋ44	扫帚星	
虹	k‘øyŋ242	霓虹	
晚霞	uaŋ21 ha52	红霞	
天气	t‘ieŋ52 kei213	天气	
好天	hɔ21 lieŋ44 好天气	
呆*天	ŋai21 lieŋ44	坏天气	
天晴	t‘ieŋ44 saŋ52	晴天	
阴乌天	εiŋ21 ŋu44 lieŋ44	阴天	
𰺲雨天	tɔuŋ21 ŋy21 lieŋ44	下雨天	%逷盪
天暖	t‘ieŋ44 nuoŋ33	天气暖和	
天凉	t‘ieŋ44 lyoŋ52	天气凉爽	
二八天	ni21 βeiʔ12 t‘ieŋ44	春秋冷暖适宜天气	
南风天	naŋ21 ŋuŋ44 nieŋ44	潮湿天气	
白露☐	pa21 lu52 koy213	白露前后热天气	
秋凉	ts‘iu44 lyoŋ52	秋天凉爽天气	
秋烘	ts‘iu52 oyŋ242	秋天热天气	
转润*	tuoŋ44 nouŋ213	反潮	
#p1298R	
热天	ieʔ5 t‘ieŋ44	夏天	
凊天	ts‘iŋ44 nieŋ44	冷天	
做旱	tsɔ52 aŋ242	天旱	
做大水	tsɔ44 luai21 ʒy33	发大水	
做溪水	tsɔ21 k‘ε52 ʒy33	山洪爆发	
做风𱃗	tsɔ21 huŋ44 nai44	刮台风	
风𱃗气	huŋ21 nai52 k‘ei213	有刮台风的征象	
𰺲雨	touŋ21 ŋy33	下雨	%逷盪
雷雨	lai21 y33	雷阵雨	
雷公响	lai44 uŋ4 hyoŋ33	响雷	
雷霎	lai21 siaʔ12	闪电	
雨濛	y21 muŋ44	毛毛雨	
濛濛雨	muŋ21 muŋ52 ŋy33	毛毛雨	
霉雨	mui21 y33	连日下雨	
晡时雨	puo52 li21 y33	阵雨	
𰺲晡时	touŋ21 puo44 li52	下阵雨	%逷盪
沃雨	uo52 y33	淋雨	
过𣆯雨	kuo52 ɔuŋ21 ŋy33	短暂下雨	
风丝	huŋ44 si44	微风	
踅螺风	suoʔ5 loy44 uŋ44	旋风	
