Zingzeu ID	原书汉字	轉換繁體漢字	原书拼音	轉換榕拼	释义	例句	分类	页码	左/右侧
2ED8	日头	日頭	niʔ5 t‘au52	nik5 tau53	太阳		天文	1298	L
1E31	月	月	ŋuoʔ5	nguok5	月亮		天文	1298	L
	月生*晕	月生*暈	ŋuoʔ5 saŋ52 uoŋ242	nguok5 sang53 uong242	月晕		天文	1298	L
2420	星	星	siŋ44	sing55	星星		天文	1298	L
	星泄窝	星泄窝	siŋ44 sieʔ12 uo44	sing55 siek24 uo55	流星		天文	1298	L
2EFA	筅帚星	筅帚星	ts‘εiŋ21 ʒiu21 liŋ44	ceing21 njiu21 ling55	扫帚星		天文	1298	L
170C	虹	虹	k‘øyŋ242	keoyng242	霓虹		天文	1298	L
	晚霞	晚霞	uaŋ21 ha52	uang21 ha53	红霞		天文	1298	L
	天气	天氣	t‘ieŋ52 kei213	tieng53 gei213	天气		天文	1298	L
2F60	好天	好天	hɔ21 lieŋ44	ho21 lieng55	好天气		天文	1298	L
2F63	呆*天	呆*天	ŋai21 lieŋ44	ngai21 lieng55	坏天气		天文	1298	L
	天晴	天晴	t‘ieŋ44 saŋ52	tieng55 sang53	晴天		天文	1298	L
	阴乌天	陰烏天	εiŋ21 ŋu44 lieŋ44	eing21 ngu55 lieng55	阴天		天文	1298	L
	𰺲雨天	逿雨天	tɔuŋ21 ŋy21 lieŋ44	doung21 ngy21 lieng55	下雨天		天文	1298	L
	天暖	天暖	t‘ieŋ44 nuoŋ33	tieng55 nuong33	天气暖和		天文	1298	L
	天凉	天涼	t‘ieŋ44 lyoŋ52	tieng55 lyong53	天气凉爽		天文	1298	L
	二八天	二八天	ni21 βeiʔ12 t‘ieŋ44	ni21 weik24 tieng55	春秋冷暖适宜天气		天文	1298	L
	南风天	南風天	naŋ21 ŋuŋ44 nieŋ44	nang21 ngung55 nieng55	潮湿天气		天文	1298	L
	白露□	白露□	pa21 lu52 koy213	ba21 lu53 goy213	白露前后热天气		天文	1298	L
	秋凉	秋涼	ts‘iu44 lyoŋ52	ciu55 lyong53	秋天凉爽天气		天文	1298	L
	秋烘	秋烘	ts‘iu52 oyŋ242	ciu53 ooyng242	秋天热天气		天文	1298	L
	转润*	轉潤*	tuoŋ44 nouŋ213	duong55 noung213	反潮		天文	1298	L
	热天	熱天	ieʔ5 t‘ieŋ44	iek5 tieng55	夏天		天文	1298	R
	凊天	凊天	ts‘iŋ44 nieŋ44	cing55 nieng55	冷天		天文	1298	R
	做旱	做旱	tsɔ52 aŋ242	zo53 ang242	天旱		天文	1298	R
	做大水	做大水	tsɔ44 luai21 ʒy33	zo55 luai21 jy33	发大水		天文	1298	R
	做溪水	做溪水	tsɔ21 k‘ε52 ʒy33	zo21 ke53 jy33	山洪爆发		天文	1298	R
	做风𱃗	做風𱃗	tsɔ21 huŋ44 nai44	zo21 hung55 nai55	刮台风		天文	1298	R
	风𱃗气	風𱃗氣	huŋ21 nai52 k‘ei213	hung21 nai53 kei213	有刮台风的征象		天文	1298	R
	𰺲雨	逿雨	touŋ21 ŋy33	doung21 ngy33	下雨		天文	1298	R
	雷雨	雷雨	lai21 y33	lai21 y33	雷阵雨		天文	1298	R
	雷公响	雷公響	lai44 uŋ4 hyoŋ33	lai55 ung4 hyong33	响雷		天文	1298	R
	雷霎	雷霎	lai21 siaʔ12	lai21 siak24	闪电		天文	1298	R
	雨濛	雨濛	y21 muŋ44	y21 mung55	毛毛雨		天文	1298	R
	濛濛雨	濛濛雨	muŋ21 muŋ52 ŋy33	mung21 mung53 ngy33	毛毛雨		天文	1298	R
	霉雨	黴雨	mui21 y33	mui21 y33	连日下雨		天文	1298	R
	晡时雨	晡時雨	puo52 li21 y33	buo53 li21 y33	阵雨		天文	1298	R
	𰺲晡时	逿晡時	touŋ21 puo44 li52	doung21 buo55 li53	下阵雨		天文	1298	R
	沃雨	沃雨	uo52 y33	uo53 y33	淋雨		天文	1298	R
	过𣆯雨	過𣆯雨	kuo52 ɔuŋ21 ŋy33	guo53 oung21 ngy33	短暂下雨		天文	1298	R
	风丝	風絲	huŋ44 si44	hung55 si55	微风		天文	1298	R
	踅螺风	踅螺風	suoʔ5 loy44 uŋ44	suok5 loy55 ung55	旋风		天文	1298	R
	雷云	雷雲	lai21 uŋ52	lai21 ung53	下雷雨前的乌云		天文	1298	R
	□雾	□霧	muo21 ou242	muo21 ou242	雾		天文	1298	R
	落霜	落霜	lɔ44 souŋ44	lo55 soung55	下霜		天文	1298	R
	落雪	落雪	lɔ21 suoʔ12	lo21 suok24	下雪		天文	1298	R
	珍珠雪	珍珠雪	tsiŋ21 ʒuo52 luoʔ12	zing21 njuo53 luok24	小粒雪		天文	1299	L
	龙雹*	龍雹*	lyŋ44 p‘oyʔ5	lyng55 poyk5	冰雹		天文	1299	L
	𰺲雹*	逿雹*	tɔuŋ44 p‘oyʔ5	doung55 poyk5	下冰雹		天文	1299	L
	地牛转肩	地牛轉肩	ti44 ŋu52 tuoŋ21 ŋieŋ44	di55 ngu53 duong21 ngieng55	地震		天文	1299	L
	露水	露水	lu52 ʒy33	lu53 jy33	露水		天文	1299	L
	天光	天光	t‘ieŋ44 kuoŋ44	tieng55 guong55	天亮		天文	1299	L
	天暗	天暗	t‘ieŋ44 aŋ213	tieng55 ang213	天黑		天文	1299	L
	水涨*	水漲*	tsy24 lɔuŋ33	zy24 loung33	(海水)涨潮		地理	1299	L
	水湓	水湓	tsy44 βuoŋ213	zy55 wuong213	(海水)退潮		地理	1299	L
	海□	海□	hai21 p‘iaʔ	hai21 piak	海边泥滩		地理	1299	L
	沙坂	沙阪	sa52 βuaŋ33	sa53 wuang33	沙滩		地理	1299	L
	海𪨧	海崙	hai44 lɔuŋ213	hai55 loung213	海啸		地理	1299	L
	海墘下	海墘下	hai44 ieŋ21 ŋa242	hai55 ieng21 nga242	沿海		地理	1299	L
	讨海	討海	t‘ɔ24 hai33	to24 hai33	海洋捕鱼		地理	1299	L
	讨小海	討小海	t‘ɔ21 siu24 hai33	to21 siu24 hai33	近海捕鱼		地理	1299	L
	两*头*水	兩*頭*水	laŋ21 nau21 ʒy33	lang21 nau21 jy33	涨潮退潮		地理	1299	L
	□□囝	□□囝	k‘aŋ21 mεiŋ52 ŋiaŋ53	kang21 meing53 ngiang53	瓦砾		地理	1299	L
	山岗	山崗	saŋ52 ŋɔuŋ213	sang53 ngoung213	山峰		地理	1299	L
	山骹	山骹	saŋ44 k‘a44	sang55 ka55	山脚下		地理	1299	L
	山里*	山裏*	saŋ52 nie33	sang53 nie33	山区		地理	1299	L
	山里角	山裏角	saŋ21 nie44 koyʔ12	sang21 nie55 goyk24	偏僻山区		地理	1299	L
	龙潭	龍潭	lyŋ21 t‘aŋ52	lyng21 tang53	山坑		地理	1299	L
	平洋	平洋	paŋ21 ŋyoŋ52	bang21 ngyong53	大片平地		地理	1299	L
	田	田	ts‘εiŋ52	ceing53	田地		地理	1299	L
	园	園	huoŋ52	huong53	旱地		地理	1299	L
	田*堘	田*堘	ts‘εiŋ21 ŋniŋ52	ceing21 ngning53	田埂		地理	1299	L
	埕	埕	tiaŋ52	diang53	空地		地理	1299	L
	曝粟埕	曝粟埕	p‘uo21 ʒuo44 liaŋ52	puo21 juo55 liang53	晒谷场		地理	1299	L
	拦潭	嵐磹	laŋ21 t‘aŋ52	lang21 tang53	石头		地理	1299	L
	拦潭囝	嵐磹囝	la21 laŋ21 ŋiaŋ33	la21 lang21 ngiang33	小石头		地理	1299	L
	石*头*母*	石*頭*母*	syo44 lau21 mɔ33	syo55 lau21 mo33	大石头		地理	1299	L
	石头囝	石頭囝	syo44 lau21 iaŋ33	syo55 lau21 iang33	小石头		地理	1299	L
	石*头*卵*	石*頭*卵*	syo22 lau21 lɔuŋ242	syo22 lau21 loung242	鹅卵石		地理	1299	L
	沙	沙	sai44	sai55	沙子		地理	1299	L
	涂	塗	t‘u52	tu53	泥土		地理	1299	L
	𬲕水	䭕水	tsiaŋ24 ʒy33	ziang24 njy33	淡水		地理	1299	R
	咸水	鹹水	kεiŋ21 ʒy33	geing21 njy33	海水、咸水		地理	1299	R
	滚汤	滾湯	kuŋ21 nɔuŋ44	gung21 noung55	开水		地理	1299	R
	汤	湯	t‘ɔuŋ44	toung55	热水		地理	1299	R
	江	江	kɔuŋ44	goung55	江		地理	1299	R
	河	河	ɔ52	o53	河		地理	1299	R
	溪	溪	k‘ε44	ke55	溪		地理	1299	R
