县志,转换类型,转换规则,"转换结果","",候选转换结果
l,none,无需转换,"l","",
p,unique,唯一映射,"b","",
p‘,unique,唯一映射,"g","",
k’,unique,唯一映射,"k","",
t,unique,唯一映射,"d","",
p‘,unique,唯一映射,"p","",
t’,unique,唯一映射,"t","",
ts,unique,唯一映射,"z","",
n,none,无需转换,"n","",
s,none,无需转换,"s","",
m,none,无需转换,"m","",
ŋ,unique,唯一映射,"ng","",
ts’,unique,唯一映射,"c","",
h,none,无需转换,"h","",
β,unique,唯一映射,"w","",
ʒ,judge,if前字元音尾韵,"j","else",nz
a,none,无需转换,"a","",
ɛ,judge,"if该字声调为""44""||""33""||""52""","e","else",a
œ,judge,"if该字声调为""44""||""33""||""52""","eo","else",oo
ɔ,judge,"if该字声调为""44""||""33""||""52""","o","else",oo
i,none,无需转换,"i","",
ei,none,无需转换,"ei","",
u,none,无需转换,"u","",
ou,none,无需转换,"ou","",
y,none,无需转换,"y","",
øy,unique,唯一映射,"eoy","",
ia,none,无需转换,"ia","",
ie,none,无需转换,"ie","",
iu,none,无需转换,"iu","",
ua,none,无需转换,"ua","",
uo,none,无需转换,"uo","",
ui,none,无需转换,"ui","",
uai,none,无需转换,"uai","",
yo,none,无需转换,"yo","",
ai,none,无需转换,"ai","",
au,none,无需转换,"au","",
eu,judge,"if该字声调为""44""||""33""||""52""","eu","else",au
oy,judge,"if该字声调为""44""||""33""||""52""","eoy","else",ooy
aŋ,unique,唯一映射,"ang","",
iŋ,unique,唯一映射,"ing","",
eiŋ,unique,唯一映射,"eing","",
uŋ,unique,唯一映射,"ung","",
ouŋ,unique,唯一映射,"oung","",
yŋ,unique,唯一映射,"yng","",
øyŋ,unique,唯一映射,"eoyng","",
iaŋ,unique,唯一映射,"iang","",
ieŋ,unique,唯一映射,"ieng","",
uaŋ,unique,唯一映射,"uang","",
uoŋ,unique,唯一映射,"uong","",
yoŋ,unique,唯一映射,"yong","",
ɛiŋ,judge,"if该字声调为""44""||""33""||""52""","eing","else",aing
ɔuŋ,judge,"if该字声调为""44""||""33""||""52""","oung","else",ooung
oyŋ,judge,"if该字声调为""44""||""33""||""52""","eoyng","else",ooyng
aʔ,manual,人工校对入声尾韵,"ah","or",ak
ɛʔ,unique,唯一映射,"eh","",
œʔ,unique,唯一映射,"eoh","",
ɔʔ,manual,人工校对入声尾韵,"oh","or",ooh
iʔ,manual,人工校对入声尾韵,"ih","or",ik
eiʔ,manual,人工校对入声尾韵,"eih","or",eik
uʔ,manual,人工校对入声尾韵,"uh","or",uk
ouʔ,manual,人工校对入声尾韵,"ouh","or",ouk
yʔ,manual,人工校对入声尾韵,"yh","or",yk
øyʔ,manual,人工校对入声尾韵,"eoyh","or",eoyk
iaʔ,manual,人工校对入声尾韵,"iah","or",iak
ieʔ,manual,人工校对入声尾韵,"ieh","or",iek
uaʔ,manual,人工校对入声尾韵,"uah","or",uak
uoʔ,manual,人工校对入声尾韵,"uoh","or",uok
yoʔ,manual,人工校对入声尾韵,"yoh","or",yok
ɛiʔ,judge,"if该字声调为""5""","eik","else",aik
ɔuʔ,judge,"if该字声调为""5""","ouk","else",oouk
oyʔ,judge,"if该字声调为""5""","eoyk","else",ooyk
44,unique,唯一映射,"55","",
33,none,无需转换,"33","",
213,none,无需转换,"213","",
12,unique,唯一映射,"24","",
52,unique,唯一映射,"53","",
242,none,无需转换,"242","",
5,none,无需转换,"5","",
21,none,无需转换,"21","",
24,none,无需转换,"24","",
2,unique,唯一映射,"24","",
,,,"","",
,,,"","",
,,,"","",
,,,"","",
,,,"","",
,,,"","",
,,,"","",
,,,"","",
,,,"","",
,,,"","",
